input,output,model,bleu,bert,cosine,final_score,back_translation
"""""""The temple holds special significance for Hindus as it is the only shrine in the world which has a """"""""natural statue"""""""" of Hanuman that is not man-made, Maharaj said.""""""","ਮਹਰਾਜ ਨੇ ਕਿਹਾ ਕਿ ਇਹ ਮਸ਼ਹੂਰ ਹਿੰਡੂਸ ਲਈ ਵਿਸ਼ੇਸ਼ ਮਹੱਤਵਪੂਰਨ ਹੈ, ਕਿਉਂਕਿ ਇਸ ਨੂੰ ਵਿਸ਼ਵ ਵਿੱਚ ਸਭ ਤੋਂ ਵਧੀਆ ਮਸ਼ਹੂਰ ਹੈ, ਜੋ ਕਿ ਹਾਨਮਾਨ ਦੇ ਇੱਕ ""ਸਾਮਾਨਿਕ ਸਟੇਜ"" ਹੈ, ਜੋ ਕਿ ਲੋਕ ਨਹੀਂ ਬਣਾਇਆ ਹੈ।",M2M,0.2357,0.8793,0.3186,0.7672,"The Maharaja said that it is especially important for the famous Hindus, as it is the best known in the world, which is a ""common stage"" of Hanman, which has not been built by the people."
Indian hockey coach to train budding players,ਭਾਰਤੀ ਹਾਕੀ ਕੋਚ ਵਲੋਂ ਨਵੇਂ ਖਿਡਾਰੀਆਂ ਦੀ ਸਿਖਲਾਈ,NLLB,0.378,0.9436,0.1457,0.7841,Training of new players by Indian hockey coach
The deceased was not identified yet.,ਜ਼ਖ਼ਮੀ ਦੀ ਪਛਾਣ ਵੀ ਨਹੀਂ ਕੀਤਾ ਗਿਆ।,M2M,0.0816,0.9399,0.5156,0.8551,The injuries have not been identified.
The PM's Portugal visit is the second visit by an Indian Prime Minister to Portugal.,ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਾ ਪੁਰਤਗਾਲ ਦਾ ਇਹ ਦੂਜਾ ਭਾਰਤ ਦੇ ਪ੍ਰਧਾਨਮੰਤਰੀ ਦਾ ਦੌਰਾ ਹੈ।,NLLB,0.3586,0.9589,0.0947,0.7861,This is the Prime Minister's second visit to Portugal by the Prime Minister of India.
Start search service,ਖੋਜ ਸੇਵਾ ਸ਼ੁਰੂ ਕਰੋ,M2M,0.5,0.9779,0.4757,0.8775,Start a search service
"Thus, its crucial to consult a doctor if your kid has the following symptoms.",ਇਸ ਲਈ ਜੇ ਤੁਹਾਡਾ ਬੱਚਾ ਹੇਠ ਲਿਖੇ ਲੱਛਣਾਂ ਤੋਂ ਪੀੜਤ ਹੈ ਤਾਂ ਡਾਕਟਰ ਕੋਲ ਜਾਣਾ ਬਹੁਤ ਜ਼ਰੂਰੀ ਹੈ ।,NLLB,0.3208,0.9597,0.0885,0.7854,"Therefore, it is very important to see a doctor if your child suffers from the following symptoms:"
"According to an internal arrangement between the Akali Dal and the BJP, the post of Mayor stays with the Akali Dal while the posts of Senior Deputy Mayor and Deputy Mayor will remain with the BJP.",ਅਕਾਲੀ ਦਲ ਅਤੇ ਭਾਜਪਾ ਵਿਚਾਲੇ ਅੰਦਰੂਨੀ ਵਿਵਸਥਾ ਅਨੁਸਾਰ ਮੇਅਰ ਦਾ ਅਹੁਦਾ ਅਕਾਲੀ ਦਲਾਂ ਦੇ ਨਾਲ ਹੀ ਰਹੇਗਾ ਜਦਕਿ ਸੀਨੀਅਰ ਡਿਪਟੀ ਮੈਅਰ ਅਤੇ ਉਪ-ਮੈਅਰ ਦੀ ਅਸਾਮੀਆਂ ਵੀ ਬੀਜੇਪੀ ਦੇ ਕੋਲ ਹੀ ਰਹਿਣਗੀਆਂ।,NLLB,0.8054,0.9815,0.3172,0.8486,"According to the internal arrangement between the Akali Party and the BJP, the post of Mayor will remain with the Akali parties while the posts of Senior Deputy Mayor and Deputy Mayor will remain with the BJP."
"The Prime Minister, Shri Narendra Modi, will launch the Stand Up India initiative at Noida tomorrow.",ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਸ਼੍ਰੀ ਨਰੇਂਦਰ ਮੋਦੀ ਕੱਲ੍ਹ ਨੋਇਡਾ ਵਿਖੇ ਸਟੈਂਡ ਅਪ ਇੰਡੀਆ ਪਹਿਲਕਦਮੀ ਦਾ ਉਦਘਾਟਨ ਕਰਨਗੇ।,NLLB,0.6325,0.99,0.181,0.8282,"The Prime Minister, Shri Narendra Modi will inaugurate the Stand Up India Initiative in Noida tomorrow."
Railway Police checking baggage of passengers at City Railway Station.,ਰੇਲਵੇ ਪੁਲੀਸ ਨੇ ਸਿਟੀ ਰੇਲਵੇ ਸਟੇਸ਼ਨ 'ਚ ਜਹਾਜ਼ਾਂ ਦੀ ਜਹਾਜ਼ ਚੈੱਕ ਕਰ ਰਹੀ ਹੈ।,M2M,0.4369,0.9461,0.4696,0.8508,Railway Police are checking the aircraft at the City Railway Station.
The state also elects 5 members to Lok Sabha and 3 seats to Rajya Sabha of the Parliament of India.,ਇਸ ਤੋਂ ਇਲਾਵਾ ਸੂਬੇ ਵਿਚ ਲੋਕ ਸਭਾ ਦੀਆਂ ਪੰਜ ਸੀਟਾਂ ਤੇ ਸੰਸਦ ਦੀਆਂ ਤਿੰਨ ਰਾਜ ਸਭਾਵਾਂ ਹਨ।,NLLB,0.1399,0.9354,0.0077,0.7499,"In addition, the state has five Lok Sabha seats and three Rajya Sabhas of Parliament."
Move something into the empty Tableau slot,ਕੁਝ ਖਾਲੀ ਟੇਬਲੌ ਸਲਾਟ ਵਿੱਚ ਭੇਜੋ,NLLB,0.0489,0.8618,0.2482,0.7391,Send some empty tablows to slots
Wheat crop on 11 acres gutted,11 ਏਕੜ ਖੇਤ 'ਚ ਕਣਕ ਦੀ ਫਸਲ ਕਟਾਈ,NLLB,0.0816,0.9242,0.5368,0.8467,Wheat Harvested in 11 Acre Field
%1 - %2,% 1 -% 2,M2M,0.0707,0.971,0.98,0.9728,% 1 - % 2
What is charity?,ਚੈਰਿਟੀ ਕੀ ਹੈ?,NLLB,1.0,1.0,0.3157,0.8631,What is charity?
Turn on this option to use original filenames without modifications.,ਬਿਨਾਂ ਕਿਸੇ ਸੋਧ ਦੇ ਅਸਲੀ ਫਾਇਲ ਨਾਂ ਵਰਤਣ ਲਈ ਇਹ ਚੋਣ ਚਾਲੂ ਕਰੋ ।,NLLB,0.3693,0.9536,0.0149,0.7659,Enable this option to use the original file name without any modification.
"The Minister also gave lengthy hearing to the demands of colonizers from across the state during the meeting such as amendment in building rules, rationalization of licensing fee, moratorium for defaulters, quick disposal of cases & approvals etc","ਮੀਟਿੰਗ ਦੌਰਾਨ ਮੰਤਰੀ ਨੇ ਰਾਜ ਭਰ ਦੇ ਬਸਤੀਵਾਸੀਆਂ ਦੀਆਂ ਮੰਗਾਂ ਜਿਵੇਂ ਕਿ ਬਿਲਡਿੰਗ ਨਿਯਮਾਂ ਵਿੱਚ ਸੋਧ, ਲਾਇਸੈਂਸ ਫੀਸ ਦੀ ਤਰਕਸ਼ੀਲਤਾ, ਡਿਫਾਲਟਰਾਂ ਲਈ ਮੋਰੈਟੋਰੀਅਮ, ਕੇਸ ਤੇਜ਼ ਨਿਪਟਾਰਾ ਅਤੇ ਪ੍ਰਵਾਨਗੀ ਆਦਿ ਦੀ ਲੰਬੀ ਸੁਣਵਾਈ ਕੀਤੀ।",NLLB,0.3673,0.9442,0.0644,0.7682,"During the meeting, the Minister listened at length to the demands of settlers across the state such as amendment of building regulations, reasonableness of license fees, moratorium for defaulters, expedited settlement and approval of cases etc."
"He grew up there, but his family hailed from Zaidi Sadat Kandipur (or Kadipur) near Jalalpur town in Ambedkar Nagar District, Uttar Pradesh.","ਉਹ ਉੱਥੋਂ ਵੱਡਾ ਹੋਇਆ, ਪਰ ਉਸਦਾ ਪਰਿਵਾਰ ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਦੇ ਅੰਬੇਡਕਰ ਨਗਰ ਜ਼ਿਲੇ ਦੇ ਜਾਲਪੁਰ ਕਸਬੇ ਨੇੜੇ ਜ਼ੈਦੀ ਸਦਤ ਕਾਂਡੀਪੁਰ (ਜਾਂ ਕਾਦੀਪੁਰ) ਤੋਂ ਆਇਆ ਸੀ।",NLLB,0.6255,0.9758,0.113,0.8032,"He grew up there, but his family came from Zayed Sadat Kandypur (or Kadipur) near Jalpur town in Ambedkar Nagar district of Uttar Pradesh."
There was no fight within the family.,ਪਰਿਵਾਰ ਵਿਚ ਕੋਈ ਝਗੜਾ ਨਹੀਂ ਹੋਇਆ।,NLLB,0.5976,0.9757,0.5726,0.895,There was no quarrel in the family.
High Print Quality,ਹਾਈ ਪ੍ਰਿੰਟ ਗੁਣਵੱਤਾ,M2M,0.1291,0.9923,0.3495,0.8637,High print quality
"The faithful angel was held up for 21 days until Michael, one of the foremost princes, came to help him.",ਮਾਈਕਲ ਨੇ ਉਸ ਦੀ ਮਦਦ ਕਰਨ ਲਈ ਮਾਈਕਲ ਦੇ ਸਭ ਤੋਂ ਵਧੀਆ ਪ੍ਰਿੰਸਾਂ ਵਿੱਚੋਂ 21 ਦਿਨ ਤਿਆਰ ਕੀਤਾ ਸੀ ।,M2M,0.1896,0.8572,0.3671,0.7592,Michael had prepared 21 days of Michael's best princes to help him.
& kde; User Mailing List,& kde; ਯੂਜ਼ਰ ਮਾਈਲਿੰਗ ਲਿਸਟ,M2M,0.3162,0.9606,0.3935,0.8472,& kde; user mailing list
Why the change of tack?,ਕਿਉਂ ਬਦਲਿਆ ਟਾਕ?,NLLB,0.7746,0.9789,0.6329,0.9097,Why the change of tone?
"Kashish Jha, actor Ramesh Singh, Deepak Kumar, Rajendra Sngh, and Rakesh Singh were present with others on the occasion.","ਇਸ ਮੌਕੇ ਰਾਕੇਸ਼ ਸਿੰਘ, ਕਸ਼ਿਸ਼ ਝਾ, ਅਭਿਨੇਤਾ ਰਮੇਸ਼ ਸਿੰਘ ਅਤੇ ਦੀਪਕ ਕੁਮਾਰ ਹਾਜ਼ਰ ਸਨ।",NLLB,0.266,0.9353,0.5392,0.8561,"Rakesh Singh, Kashish Jha, actor Ramesh Singh and Deepak Kumar were present."
Anjuta _Home Page,Anjuta_Home ਪੇਜ਼,M2M,0.0,0.9722,0.8964,0.9571,Anjuta_Home page
"Traders said, positive trend overseas and rise in demand from local jewellers led to upward movement in the prices of yellow metal.",ਵਪਾਰੀਆਂ ਨੇ ਕਿਹਾ ਕਿ ਵਿਦੇਸ਼ਾਂ ਵਿੱਚ ਸਕਾਰਾਤਮਕ ਰੁਝਾਨ ਅਤੇ ਸਥਾਨਕ ਗਹਿਣਿਆਂ ਦੀ ਮੰਗ ਵਿੱਚ ਵਾਧੇ ਨੇ ਪੀਲੇ ਧਾਤ ਦੀਆਂ ਕੀਮਤਾਂ ਵਿੱਚ ਵਾਧਾ ਕੀਤਾ ਹੈ।,NLLB,0.3079,0.9562,0.1464,0.7942,Traders said that positive trends abroad and increased demand for local jewelry have led to higher prices of yellow metal.
A case of rape has been registered against three persons.,ਤਿੰਨ ਵਿਅਕਤੀਆਂ ਖ਼ਿਲਾਫ਼ ਬਲਾਤਕਾਰ ਦਾ ਮਾਮਲਾ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।,NLLB,0.7074,0.9899,0.4891,0.8898,A rape case has been registered against three persons.
Haryana to celebrate 350th birth anniversary of Guru Gobind Singh,ਹਰਿਆਣਾ ਚ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਦੀ 350ਵੀਂ ਵਰ੍ਹੇਗੰਢ,NLLB,0.4415,0.9561,0.3647,0.8378,350th Birthday of Guru Gobind Singh in Haryana
Too much sugar consumption can increase the risk of heart diseases,ਬਹੁਤ ਜ਼ਿਆਦਾ ਸ਼ੂਗਰ ਦੀ ਖਪਤ ਦਿਲ ਦੀਆਂ ਬਿਮਾਰੀਆਂ ਦਾ ਖ਼ਤਰਾ ਵਧਾ ਸਕਦੀ ਹੈ।,NLLB,0.7137,0.973,0.0313,0.7846,Excessive sugar consumption can increase the risk of heart disease.
Aam Aadmi Party chief Arvind Kejriwal,ਆਮ ਅਦਮੀ ਪਾਰਟੀ ਦੇ ਪ੍ਰਧਾਨ ਆਰਵਿਡ ਕੇਜਰੀਵਾਲ,M2M,0.378,0.9334,0.4407,0.8348,Chairman of the Aam Aadmi Party Arvid Kejriwal
"But, a few days later, we were shooting outdoors for a crucial scene and were suddenly told to pack up.","ਪਰ, ਕੁਝ ਦਿਨ ਬਾਅਦ, ਅਸੀਂ ਇੱਕ ਮਹੱਤਵਪੂਰਣ ਸੀਨ ਲਈ ਬਾਹਰੀ ਸ਼ੂਟਿੰਗ ਕਰ ਰਹੇ ਸੀ ਅਤੇ ਅਚਾਨਕ ਸਾਨੂੰ ਕਿਹਾ ਗਿਆ ਕਿ ਪੈਕ ਕਰੋ.",NLLB,0.5078,0.9723,-0.0127,0.7753,"But, a few days later, we were out shooting for an important scene and suddenly we were asked to pack."
"ASI Swinderpal Singh, Investigating Officer (IO), said the deceased has been identified as Jasbir Singh (35) of Bhagupur village and his son Manpreet Singh.",ਜਾਂਚ ਅਧਿਕਾਰੀ (ਆਈਓ) ਏਐੱਸਆਈ ਸਵਿੰਦਰਪਾਲ ਸਿੰਘ ਨੇ ਦੱਸਿਆ ਕਿ ਮ੍ਰਿਤਕ ਦੀ ਪਛਾਣ ਭਗਪੁਰ ਪਿੰਡ ਦੇ ਜਸਬੀਰ ਸਿੰਘ (35) ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪੁੱਤਰ ਮਨਪ੍ਰੀਤ ਸਿੰਘ ਵਜੋਂ ਹੋਈ ਹੈ।,NLLB,0.7071,0.9788,0.4453,0.8721,Investigative Officer (IO) ASI Swinderpal Singh said that the deceased has been identified as Jasbir Singh (35) of Bhagpur village and his son Manpreet Singh.
"Could not write definition file ""%s"": %s","ਫਾਇਲ ""%s"" ਦੀ ਡਿਫਾਇਲ ਨਹੀਂ ਲਿਖਿਆ ਜਾ ਸਕਿਆ:%s",M2M,0.069,0.9445,0.8258,0.9208,"Failure to write the default file ""%s"":%s"
"Vidya Sagar Sharma as cashiers, Nitin Kanotra as advisor, Rahul Sharma as general secretary and Suresh Chowdhary and Ramesh Chander as members.","ਵਿਦਿਆ ਸਾਗਰ ਸ਼ਰਮਾ ਕੈਸ਼ੀਅਰ, ਨਿਤਿਨ ਕਾਨੋਤਰਾ ਸਲਾਹਕਾਰ, ਰਾਹੁਲ ਸ਼ਰਮ ਜਨਰਲ ਸਕੱਤਰ ਅਤੇ ਸੁਰੇਸ਼ ਚੌਧਰੀ ਅਤੇ ਰਮੇਸ਼ ਚੰਦਰ ਮੈਂਬਰ ਹਨ।",NLLB,0.3918,0.9278,0.4717,0.8366,"Vidya Sagar Sharma Kasir, Nitin Kanotra Counsellor, Rahul Sharma General Secretary and Suresh Chaudhary and Ramesh Chandra are members."
Remove users from old file share group,ਪੁਰਾਣੇ ਫਾਇਲ ਸ਼ੇਅਰ ਗਰੁੱਪ ਵਿੱਚੋਂ ਯੂਜ਼ਰ ਹਟਾਓ,NLLB,0.6901,0.9845,0.1658,0.8207,Remove users from old file sharing groups
Congress president Sonia Gandhi and Rahul were in the Lok Sabha during the incident.,ਇਸ ਘਟਨਾ ਦੌਰਾਨ ਕਾਂਗਰਸ ਪ੍ਰਧਾਨ ਸੋਨੀਆ ਗਾਂਧੀ ਤੇ ਰਾਹੁਲ ਲੋਕ ਸਭਾ ਵਿਚ ਮੌਜੂਦ ਸਨ।,NLLB,0.4447,0.9777,0.2273,0.8276,"During the incident, Congress President Sonia Gandhi and Rahul were present in Lok Sabha."
"6 teens killed, 2 hurt in US SUV crash","ਅਮਰੀਕਾ ਦੇ ਸਵੀਵ ਕ੍ਰੈਸ਼ 'ਚ 6 ਬੱਚਿਆਂ ਦੀ ਜ਼ਖ਼ਮੀ, 2 ਜ਼ਖ਼ਮੀ",M2M,0.0471,0.9321,0.3366,0.813,"Six children injured, two injured in a U.S. swimwear crash"
Please replace the disc with a writable CD with at least %i MiB of free space.,ਡਿਸਕ ਨੂੰ %i MiB ਖਾਲੀ ਖੇਤਰ ਨਾਲ ਇੱਕ ਲਿਖਣਯੋਗ CD ਨਾਲ ਬਦਲੋ ਜਾਓ।,M2M,0.2965,0.952,0.741,0.9098,Replace the disk with a writeable CD with %i MiB space.
"This keeps skin shiny, soft and supple.","ਇਸ ਨਾਲ ਚਮੜੀ ਚਮਕਦਾਰ, ਨਰਮ ਅਤੇ ਨਿਰਵਿਘਨ ਰਹਿੰਦੀ ਹੈ.",NLLB,0.2673,0.96,0.2561,0.8192,"It keeps the skin bright, soft and smooth."
Failed to start setup transaction,ਸੈੱਟਅੱਪ ਸੰਚਾਰ ਸ਼ੁਰੂ ਕਰਨ ਲਈ ਫੇਲ੍ਹ,NLLB,0.5477,0.9499,-0.0327,0.7534,Failure to start setup communication
"They use their powerful jaws, serrated teeth and sharp claws for both predation and defense.","ਉਹ ਆਪਣੇ ਸ਼ਕਤੀਸ਼ਾਲੀ ਚੂਚੀਆਂ, ਤਿੱਖੇ ਦੰਦਾਂ ਅਤੇ ਕੱਟੇ ਹੋਏ ਨਹੁੰਆਂ ਦੀ ਵਰਤੋਂ ਘੁਸਪੈਠ ਅਤੇ ਬਚਾਅ ਦੋਵਾਂ ਲਈ ਕਰਦੇ ਹਨ.",NLLB,0.488,0.9357,0.1088,0.7703,"They use their powerful tits, sharp teeth, and cut nails for both penetration and defense."
We have entered into agreements with many countries for exchanging real time information on black money.,ਅਸੀਂ ਕਾਲੇ ਧਨ ਬਾਰੇ ਰੀਅਲ ਟਾਈਮ ਜਾਣਕਾਰੀ ਦੇ ਆਦਾਨ-ਪ੍ਰਦਾਨ ਲਈ ਕਈ ਦੇਸ਼ਾਂ ਨਾਲ ਸਮਝੌਤੇ ਕੀਤੇ ਹਨ।,NLLB,0.4311,0.9827,0.6748,0.9211,We have signed agreements with several countries to exchange real-time information on black money.
General and OBC category candidates will have to pay application fee of Rs Rs 600 and SC/ST category candidates will have to pay Rs 400 as application fee.,ਜਨਰਲ ਤੇ ਓਬੀਸੀ ਵਰਗ ਦੇ ਉਮੀਦਵਾਰਾਂ ਨੂੰ 600 ਰੁਪਏ ਅਤੇ ਐਸਸੀ/ਐੱਸਟੀ ਵਰਗਾਂ ਨੂੰ 400 ਰੁਪਏ ਦੀ ਅਰਜ਼ੀ ਫੀਸ ਦੇਣੀ ਪਵੇਗੀ।,NLLB,0.565,0.9777,0.3441,0.851,General and OBC category candidates will have to pay an application fee of Rs 600 and SC/ST category Rs 400.
Base Card: Queen,ਬੇਸ ਕਾਰਡ: ਰੀਨ,M2M,0.1291,0.9488,0.409,0.8409,Base card: Rhin
"According to defence officials, India has an older version of these radars in Seychelles, Mauritious and Sri Lanka.","ਰੱਖਿਆ ਅਧਿਕਾਰੀਆਂ ਮੁਤਾਬਕ ਭਾਰਤ ਕੋਲ ਇਨ੍ਹਾਂ ਰਡਾਰਾਂ ਦਾ ਪੁਰਾਣਾ ਵਰਜਨ ਸੈਸ਼ੇਲਜ਼, ਮੌਰਿਟਿਯਸ ਅਤੇ ਸ੍ਰੀਲੰਕਾ ਵਿੱਚ ਹੈ।",NLLB,0.9129,0.9714,0.1114,0.7994,"According to defence officials, India has an older version of these radars in Seychelles, Mauritius and Sri Lanka."
BATHINDA: Two persons have been killed in two road accidents while two others suffered injuries in Bathinda district.,ਬਠਿੰਡਾ ਜ਼ਿਲ੍ਹੇ ਚ ਦੋ ਸੜਕ ਹਾਦਸਿਆਂ ਵਿੱਚ ਦੋ ਲੋਕਾਂ ਦੀ ਮੌਤ ਹੋ ਗਈ ਹੈ ਜਦਕਿ ਦੋ ਹੋਰ ਜ਼ਖ਼ਮੀ ਹੋ ਗਏ ਹਨ।,NLLB,0.4834,0.9554,0.0511,0.7745,Two people have been killed and two others injured in two road accidents in Bhatinda district.
"Dr Ashok Kumar, Additional Director of Research, deliberated",ਐਡੀਸ਼ਨਲ ਡਾਇਰੈਕਟਰ ਆਫ਼ ਰਿਸਰਚ ਡਾ. ਅਸ਼ੋਕ ਕੁਮਾਰ,NLLB,0.3783,0.9473,0.1627,0.7904,Additional Director of Research Dr. Ashok Kumar
"Akali stalwart Jathedar Gurcharan Singh Tohra, who lorded over the Shiromani Gurdwara Parbandhak Committee for over quarter a century, was a leader most dedicated to the Panth after Master Tara Singh, stated historian and former GNDU Vice-Chancellor Dr JS Grewal during Gurcharan Singh Tohra Memorial Function organised by the Sikh Education Society (SES) at Sri Guru Gobind Singh College here today.",ਸਿੱਖ ਸਿੱਖਿਆ ਸੁਸਾਇਟੀ (ਐੱਸ. ਈ. ਐੱਸ.) ਵੱਲੋਂ ਅੱਜ ਇੱਥੇ ਆਯੋਜਿਤ ਗੁਰਚੇਰਨ ਸਿੰਘ ਤੋਹਰਾ ਸਮਾਰਕ ਸਮਾਗਮ ਦੌਰਾਨ ਇਤਿਹਾਸਕਾਰ ਤੇ ਸਾਬਕਾ ਜੀ. ਐੱਨ. ਡੀ. ਯੂ. ਦੇ ਉਪ ਚਾਂਸਲਰ ਡਾ. ਜੇ. ਐਸ. ਗ੍ਰੇਵਾਲ ਨੇ ਕਿਹਾ ਕਿ ਸ਼ਿਰੋਮਣੀ ਗੁਰਦਵਰਾ ਪਰਬੰਧਕ ਕਮੇਟੀ ਦਾ ਰਾਜਾ ਜਥੇਦਾਰ ਗੁੜਚਾਰੇਣ ਸਿੰਘ ਟੋਹੜਾ ਮਾਸਟਰ ਤਾਰਾ ਸਿੰਘ ਤੋਂ ਬਾਅਦ ਪੰਥ ਨੂੰ ਸਭ ਤੋਂ ਵੱਧ ਸਮਰਪਿਤ ਨੇਤਾ ਸਨ।,NLLB,0.3391,0.9013,0.2883,0.7787,"Dr. J.S. Grewal, a historian and former GNDU Vice Chancellor, during the Gurcheran Singh Memorial Ceremony organised by the Sikh Education Society (SES) here today, said that Shiromani Gurudevra was the most devoted leader to the sect after Raja Jathedar Gurcharan Singh Tohra Master Tara Singh of the Gurudevra Management Committee."
Safi had mentioned several of Nawab Sahab's friends who come in contact with Faridi.,ਸਫ਼ੀ ਨੇ ਨਵਾਬ ਸਾਹਿਬ ਦੇ ਕਈ ਦੋਸਤਾਂ ਦਾ ਜ਼ਿਕਰ ਕੀਤਾ ਸੀ ਜੋ ਫਰੀਦੀ ਦੇ ਸੰਪਰਕ ਵਿੱਚ ਆਉਂਦੇ ਹਨ।,NLLB,0.8018,0.984,0.181,0.8234,Safi had mentioned several friends of Nawab Sahib who come in contact with Faridi.
Do not use Xvfb,Xvfb ਵਰਤੋਂ ਨਹੀਂ,M2M,0.1308,0.9517,0.8752,0.9364,Xvfb not used
The package could not be installed from untrusted origin.,ਪੈਕ ਨੂੰ ਗ਼ੈਰ- ਭਰੋਸੇਯੋਗ ਮੂਲ ਤੋਂ ਇੰਸਟਾਲ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਿਆ ।,NLLB,0.5164,0.9498,0.2628,0.8124,The pack could not be installed from an unreliable source.
Display an icon in the notification area for controlling Banshee.,ਬਾਂਸ਼ੀ ਕੰਟਰੋਲ ਕਰਨ ਲਈ ਨੋਟੀਫਿਕੇਸ਼ਨ ਖੇਤਰ ਵਿੱਚ ਆਈਕਾਨ ਵੇਖੋ ।,M2M,0.4264,0.9326,0.3635,0.8188,See the icon in the notification area to control the hash.
Foods to avoid during pregnancy,ਗਰਭ ਅਵਸਥਾ ਦੌਰਾਨ ਖਾਣ-ਪੀਣ ਤੋਂ ਬਚੋ,NLLB,0.2582,0.9309,0.606,0.8659,Avoid eating and drinking during pregnancy
His mother's eye,ਉਸ ਦੇ ਮਾਪੀ ਦੀ ਚਿੱਤਰ,M2M,0.0,0.8899,0.3327,0.7785,A picture of her parents
"The accused Jehanzeb Surkheli killed his two wives, daughter, son and daughter-in-law after a fight over a petty issue in KPK's Batagram district.","ਕੇਪੀਕੇ ਦੇ ਬਟਗਰਾਮ ਜ਼ਿਲ੍ਹੇ ਵਿੱਚ ਇੱਕ ਮਾਮੂਲੀ ਮੁੱਦੇ ਤੇ ਲੜਾਈ ਤੋਂ ਬਾਅਦ ਮੁਲਜ਼ਮ ਜਹੰਜੇਬ ਸੁਰਖੇਲੀ ਨੇ ਆਪਣੀਆਂ ਦੋ ਪਤਨੀਆਂ, ਧੀ, ਪੁੱਤਰ ਅਤੇ ਲਾੜੀ ਦੀ ਹੱਤਿਆ ਕਰ ਦਿੱਤੀ ਹੈ।",NLLB,0.462,0.9424,-0.036,0.7467,"Murderer Jahangeb Surkhali has murdered his two wives, daughter, son and daughter-in-law after fighting over a minor issue in Batgram district of KPK."
"""""""After the Alok Verma incident, CBI does not have any credibility.""",ਅਲੌਕ ਵਿਰਮਾ ਦੇ ਘਟਨਾ ਤੋਂ ਬਾਅਦ ਸੀਬੀਆਈ 'ਚ ਕੋਈ ਭਰੋਸੇਯੋਗਤਾ ਨਹੀਂ ਹੈ।,M2M,0.1508,0.9404,0.3931,0.8309,There is no credibility in the CBI after the Alok Virma incident.
Data DVD successfully burned,ਡਾਟਾ DVD ਠੀਕ ਤਰ੍ਹਾਂ ਲਿਖਿਆ ਜਾ ਰਿਹਾ ਹੈ,M2M,0.2582,0.9141,0.4101,0.8133,Data DVD is being written correctly
After which leave the mixture to cool.,ਇਸ ਤੋਂ ਬਾਅਦ ਮਿਕਸ ਨੂੰ ਖੋਲ੍ਹੋ.,M2M,0.0431,0.9269,0.3501,0.8116,Then open the mixture.
nine of clubs,ਕਲੱਬ ਦੇ ਨੌਂ,NLLB,0.0913,0.9158,0.5943,0.8515,Nine of the club
